cohort_id,column,nonmissing_n,missing_n,unique_n,dtype,example_values,numeric_fraction,numeric_min,numeric_median,numeric_max,binary_or_low_cardinality_counts,endpoint_candidate
TARGET-OS,case_id,88,0,88,object,e27acb51-a523-509a-9e17-5ba6b3852e17 | 48ebfa2f-76e3-5429-a138-97eddf2c2b80 | 6c42a82c-4911-5457-b2b3-b15caf0f0406 | 8410e97b-d786-5bfd-bdd5-7b052c42934c | 2ac845dc-8544-5809-ae2c-68ab94a24d7c,0.0,,,,,False
TARGET-OS,primary_site,88,0,2,object,"Bones, joints and articular cartilage of limbs | Bones, joints and articular cartilage of other and unspecified sites",0.0,,,,"{""Bones, joints and articular cartilage of limbs"": 82, ""Bones, joints and articular cartilage of other and unspecified sites"": 6}",False
TARGET-OS,disease_type,88,0,1,object,Osseous and Chondromatous Neoplasms,0.0,,,,"{""Osseous and Chondromatous Neoplasms"": 88}",False
TARGET-OS,sex,0,88,0,float64,,0.0,,,,,False
TARGET-OS,race,88,0,5,object,not reported | white | Unknown | asian | black or african american,0.0,,,,"{""Unknown"": 11, ""asian"": 7, ""black or african american"": 7, ""not reported"": 11, ""white"": 52}",False
TARGET-OS,ethnicity,88,0,4,object,not reported | Unknown | not hispanic or latino | hispanic or latino,0.0,,,,"{""Unknown"": 5, ""hispanic or latino"": 11, ""not hispanic or latino"": 54, ""not reported"": 18}",False
TARGET-OS,vital_status,88,0,3,object,Alive | Dead | Unknown,0.0,,,,"{""Alive"": 57, ""Dead"": 29, ""Unknown"": 2}",False
TARGET-OS,os_time_days,86,2,83,float64,3946.0 | 377.0 | 3050.0 | 2948.0 | 290.0,1.0,0.0,1387.0,5840.0,,True
TARGET-OS,os_event,86,2,2,float64,0.0 | 1.0,1.0,0.0,0.0,1.0,"{""0.0"": 57, ""1.0"": 29}",True
TARGET-OS,days_to_death,29,59,29,float64,290.0 | 519.0 | 619.0 | 627.0 | 1906.0,1.0,74.0,679.0,3976.0,,True
TARGET-OS,days_to_last_follow_up,86,2,83,float64,3946.0 | 377.0 | 3050.0 | 2948.0 | 290.0,1.0,0.0,1387.0,5840.0,,True
TARGET-OS,age_at_diagnosis_days,88,0,87,float64,7254.0 | 10205.0 | 10635.0 | 8470.0 | 7264.0,1.0,1299.0,5324.5,11828.0,,True
TARGET-OS,age_at_diagnosis_years,88,0,87,float64,19.860369609856264 | 27.939767282683093 | 29.117043121149894 | 23.189596167008897 | 19.887748117727583,1.0,3.5564681724846,14.577686516084874,32.38329911019849,,True
TARGET-OS,metastasis_fields_raw,87,1,2,object,"No Metastasis | Metastasis, NOS",0.0,,,,"{""Metastasis, NOS"": 22, ""No Metastasis"": 65}",True
TARGET-OS,endpoint_preparation_note,88,0,1,object,OS prepared from GDC vital status and death/follow-up fields; no outcome model fitted in script 22,0.0,,,,"{""OS prepared from GDC vital status and death/follow-up fields; no outcome model fitted in script 22"": 88}",False
GSE21257,title,53,0,53,object,00043-05 | 00745-04 | 00917-04 | 07677-05 | 09541-05,0.0,,,,,False
GSE21257,geo_accession,53,0,53,object,GSM530667 | GSM530899 | GSM531283 | GSM531284 | GSM531285,0.0,,,,,False
GSE21257,status,53,0,1,object,Public on Feb 11 2011,0.0,,,,"{""Public on Feb 11 2011"": 53}",False
GSE21257,submission_date,53,0,3,object,Apr 06 2010 | Apr 07 2010 | Apr 08 2010,0.0,,,,"{""Apr 06 2010"": 1, ""Apr 07 2010"": 1, ""Apr 08 2010"": 51}",False
GSE21257,last_update_date,53,0,1,object,Feb 12 2011,0.0,,,,"{""Feb 12 2011"": 53}",False
GSE21257,type,53,0,1,object,RNA,0.0,,,,"{""RNA"": 53}",False
GSE21257,channel_count,53,0,1,int64,1,1.0,1.0,1.0,1.0,"{""1"": 53}",False
GSE21257,source_name_ch1,53,0,1,object,Osteosarcoma pre-chemotherapy biopsy,0.0,,,,"{""Osteosarcoma pre-chemotherapy biopsy"": 53}",False
GSE21257,organism_ch1,53,0,1,object,Homo sapiens,0.0,,,,"{""Homo sapiens"": 53}",False
GSE21257,taxid_ch1,53,0,1,int64,9606,1.0,9606.0,9606.0,9606.0,"{""9606"": 53}",False
GSE21257,characteristics_ch1.0.age,53,0,44,object,174 months | 162 months | 170 months | 133 months | 81 months,0.0,,,,,False
GSE21257,characteristics_ch1.1.gender,53,0,2,object,M | F,0.0,,,,"{""F"": 19, ""M"": 34}",False
GSE21257,characteristics_ch1.2.histological subtype,53,0,9,object,Giant cell rich | Osteoblastic | Fibroblastic | Chondroblastic | Sclerosing,0.0,,,,"{""Anaplastic"": 2, ""Chondroblastic"": 6, ""Fibroblastic"": 5, ""Giant cell rich"": 1, ""Osteoblastic"": 32, ""Pleomorphic"": 1, ""Possibly chondromyxoid fibroma like"": 1, ""Sclerosing"": 2, ""Telangiectatic"": 3}",False
GSE21257,characteristics_ch1.3.tumor location,53,0,19,object,Left distal femur | Left proximal humerus | Humerus | Tibia | Right proximal tibia,0.0,,,,,False
