scenario_id,model,mean_delta_uno_c,negative_transfer_rate_at_deltaC_le_-0.02,catastrophic_transfer_rate_at_deltaC_le_-0.05,scenario_class,regime
CORE_0000,A2,0.02312757905,0.24,0.15,CORE,R0
CORE_0000,A3,0.089526203,0.01,0,CORE,R0
CORE_0001,A2,0.01152448864,0.225,0.13,CORE,R1
CORE_0001,A3,0.06794816927,0.01,0,CORE,R1
CORE_0002,A2,-0.002138347796,0.34,0.115,CORE,R2
CORE_0002,A3,0.03785064711,0.04,0,CORE,R2
CORE_0003,A2,-0.005428209518,0.345,0.145,CORE,R3
CORE_0003,A3,-0.00229704124,0.25,0.07,CORE,R3
CORE_0004,A2,-0.001391085635,0.37,0.235,CORE,R4
CORE_0004,A3,-0.061437951,0.875,0.595,CORE,R4
CORE_0005,A2,0.04016986583,0.18,0.13,CORE,R5
CORE_0005,A3,-0.1039266348,0.975,0.915,CORE,R5
CORE_0006,A2,0.04566948478,0.12,0.06,CORE,R0
CORE_0006,A3,0.06546039718,0.005,0,CORE,R0
CORE_0007,A2,0.02314473725,0.18,0.07,CORE,R1
CORE_0007,A3,0.05820356272,0.015,0,CORE,R1
CORE_0008,A2,-0.0001012976447,0.3,0.085,CORE,R2
CORE_0008,A3,0.03247565274,0.03,0.005,CORE,R2
CORE_0009,A2,-0.007281689676,0.325,0.135,CORE,R3
CORE_0009,A3,-0.003699678536,0.31,0.015,CORE,R3
CORE_0010,A2,0.005552760756,0.285,0.15,CORE,R4
CORE_0010,A3,-0.04301217414,0.84,0.35,CORE,R4
CORE_0011,A2,0.05062160075,0.11,0.065,CORE,R5
CORE_0011,A3,-0.07876604253,0.985,0.84,CORE,R5
CORE_0012,A2,0.04521817225,0.09,0.045,CORE,R0
CORE_0012,A3,0.0525023283,0.015,0,CORE,R0
CORE_0013,A2,0.02324948583,0.165,0.09,CORE,R1
CORE_0013,A3,0.04692357505,0.015,0,CORE,R1
CORE_0014,A2,-0.0005556956296,0.335,0.07,CORE,R2
CORE_0014,A3,0.02609626444,0.05,0,CORE,R2
CORE_0015,A2,-0.01116767632,0.385,0.145,CORE,R3
CORE_0015,A3,-0.006037985908,0.255,0.045,CORE,R3
CORE_0016,A2,0.001426265921,0.355,0.125,CORE,R4
CORE_0016,A3,-0.03889457231,0.81,0.305,CORE,R4
CORE_0017,A2,0.05538233005,0.065,0.03,CORE,R5
CORE_0017,A3,-0.06300751418,0.95,0.66,CORE,R5
CORE_0018,A2,0.04469497055,0.065,0.02,CORE,R0
CORE_0018,A3,0.03725880204,0.03,0.01,CORE,R0
CORE_0019,A2,0.02660108523,0.13,0.06,CORE,R1
CORE_0019,A3,0.03850168883,0.025,0,CORE,R1
CORE_0020,A2,0.0002178938814,0.29,0.11,CORE,R2
CORE_0020,A3,0.02373287495,0.06,0,CORE,R2
CORE_0021,A2,-0.01436428274,0.45,0.165,CORE,R3
CORE_0021,A3,-0.008171533497,0.325,0.035,CORE,R3
CORE_0022,A2,0.01000545251,0.27,0.09,CORE,R4
CORE_0022,A3,-0.03433485954,0.69,0.23,CORE,R4
CORE_0023,A2,0.0535177182,0.045,0.02,CORE,R5
CORE_0023,A3,-0.05692645435,0.925,0.56,CORE,R5
CORE_0024,A2,0.05112393208,0.045,0.005,CORE,R0
CORE_0024,A3,0.04166379555,0.04,0,CORE,R0
CORE_0025,A2,0.03669451096,0.1,0.025,CORE,R1
CORE_0025,A3,0.03327468677,0.03,0.005,CORE,R1
CORE_0026,A2,0.001806626284,0.285,0.12,CORE,R2
CORE_0026,A3,0.01858187157,0.075,0,CORE,R2
CORE_0027,A2,-0.004366660316,0.325,0.115,CORE,R3
CORE_0027,A3,-0.005021586801,0.29,0.02,CORE,R3
CORE_0028,A2,0.009188692971,0.22,0.105,CORE,R4
CORE_0028,A3,-0.02382231493,0.53,0.1,CORE,R4
CORE_0029,A2,0.05063310002,0.035,0.01,CORE,R5
CORE_0029,A3,-0.0436702404,0.815,0.415,CORE,R5
CORE_0030,A2,0.04164920052,0.045,0.015,CORE,R0
CORE_0030,A3,0.02693086456,0.06,0.005,CORE,R0
CORE_0031,A2,0.03379338481,0.07,0.01,CORE,R1
CORE_0031,A3,0.02627450911,0.03,0,CORE,R1
CORE_0032,A2,0.00480345208,0.22,0.08,CORE,R2
CORE_0032,A3,0.01744346058,0.08,0.01,CORE,R2
CORE_0033,A2,-0.008676217381,0.355,0.085,CORE,R3
CORE_0033,A3,-0.003174098435,0.26,0.03,CORE,R3
CORE_0034,A2,0.01368911646,0.16,0.075,CORE,R4
CORE_0034,A3,-0.01639425185,0.39,0.05,CORE,R4
CORE_0035,A2,0.04629593818,0.02,0,CORE,R5
CORE_0035,A3,-0.03113830458,0.595,0.24,CORE,R5
STRESS_0036,A2,-0.002492586577,0.3,0.08,STRESS,R2
STRESS_0036,A3,0.03025010571,0.04,0,STRESS,R2
STRESS_0037,A2,-0.003546624037,0.31,0.08,STRESS,R2
STRESS_0037,A3,0.02845130841,0.05,0,STRESS,R2
STRESS_0038,A2,-0.007293997335,0.36,0.11,STRESS,R2
STRESS_0038,A3,0.02822899406,0.05,0.01,STRESS,R2
STRESS_0039,A2,-0.003610563914,0.28,0.08,STRESS,R2
STRESS_0039,A3,0.02729596887,0.08,0,STRESS,R2
STRESS_0040,A2,-0.00159659129,0.26,0.09,STRESS,R2
STRESS_0040,A3,0.03396170113,0.06,0,STRESS,R2
STRESS_0041,A2,-0.002185577411,0.27,0.07,STRESS,R2
STRESS_0041,A3,0.02962668802,0.05,0,STRESS,R2
STRESS_0042,A2,-0.001543895162,0.25,0.04,STRESS,R2
STRESS_0042,A3,0.02704906259,0.09,0,STRESS,R2
STRESS_0043,A2,-0.004933072725,0.3,0.12,STRESS,R2
STRESS_0043,A3,0.03133538609,0.06,0,STRESS,R2
STRESS_0044,A2,-0.0001086931568,0.33,0.09,STRESS,R2
STRESS_0044,A3,0.03476923267,0.06,0.01,STRESS,R2
STRESS_0045,A2,-0.005216488396,0.38,0.08,STRESS,R2
STRESS_0045,A3,0.03100459127,0.06,0,STRESS,R2
STRESS_0046,A2,-0.009194421218,0.34,0.15,STRESS,R2
STRESS_0046,A3,0.01058152883,0.21,0.03,STRESS,R2
STRESS_0047,A2,-0.004763142467,0.33,0.06,STRESS,R2
STRESS_0047,A3,-0.003492003294,0.29,0.06,STRESS,R2
STRESS_0048,A2,0.001263036388,0.25,0.04,STRESS,R2
STRESS_0048,A3,0.03228660788,0.04,0.01,STRESS,R2
STRESS_0049,A2,-0.004228814899,0.27,0.1,STRESS,R2
